Período;Moveis e eletrodomesticos
jan/00;29,5
fev/00;28,4
mar/00;30,1
abr/00;28,8
mai/00;34,8
jun/00;30,5
jul/00;33,6
ago/00;34,7
set/00;32,2
out/00;34
nov/00;36,1
dez/00;55,1
jan/01;32,8
fev/01;28,2
mar/01;33,3
abr/01;29,7
mai/01;34,9
jun/01;29,6
jul/01;31,9
ago/01;32,1
set/01;30,2
out/01;33,8
nov/01;33,7
dez/01;52,7
jan/02;33,1
fev/02;27,9
mar/02;32
abr/02;32,2
mai/02;35,5
jun/02;30,2
jul/02;31,8
ago/02;32,6
set/02;29,9
out/02;33,7
nov/02;33,1
dez/02;48,3
jan/03;29,5
fev/03;27,3
mar/03;26,9
abr/03;27
mai/03;31,7
jun/03;28,8
jul/03;31,4
ago/03;32,2
set/03;32
out/03;35,6
nov/03;36,1
dez/03;58,4
jan/04;35,1
fev/04;31,8
mar/04;36,7
abr/04;35,9
mai/04;42,8
jun/04;39,2
jul/04;41,6
ago/04;41,4
set/04;38,5
out/04;42,5
nov/04;43,9
dez/04;72,3
jan/05;42
fev/05;37,1
mar/05;43,2
abr/05;44,5
mai/05;50,7
jun/05;47,5
jul/05;48,5
ago/05;48,3
set/05;43,2
out/05;47,5
nov/05;50,3
dez/05;79,1
jan/06;47,3
fev/06;40,6
mar/06;47,9
abr/06;45,8
mai/06;58,4
jun/06;49
jul/06;49,3
ago/06;53,5
set/06;52,1
out/06;56,1
nov/06;57,6
dez/06;83,9
jan/07;58,6
fev/07;48,4
mar/07;56,4
abr/07;51,8
mai/07;64,5
jun/07;56,9
jul/07;58,3
ago/07;62,7
set/07;58,7
out/07;63,9
nov/07;66,6
dez/07;93,7
jan/08;68
fev/08;59,1
mar/08;64,5
abr/08;66,2
mai/08;74,9
jun/08;66,1
jul/08;69,8
ago/08;70,9
set/08;71,2
out/08;73,9
nov/08;69,6
dez/08;98
jan/09;72,2
fev/09;57,9
mar/09;63,9
abr/09;59,6
mai/09;70,3
jun/09;65,4
jul/09;70,1
ago/09;71,3
set/09;72,6
out/09;76,5
nov/09;79,2
dez/09;111
jan/10;85
fev/10;70,7
mar/10;80,1
abr/10;73
mai/10;84,1
jun/10;76,5
jul/10;78,7
ago/10;83,2
set/10;83
out/10;88,2
nov/10;95,5
dez/10;131,4
jan/11;101,3
fev/11;85,1
mar/11;89,1
abr/11;87,1
mai/11;101,2
jun/11;89
jul/11;95,2
ago/11;97,3
set/11;96,2
out/11;99,8
nov/11;107,2
dez/11;151,5
jan/12;114,6
fev/12;96,6
mar/12;107,7
abr/12;97,9
mai/12;110,6
jun/12;103
jul/12;107,2
ago/12;112,2
set/12;102,2
out/12;113,5
nov/12;116,3
dez/12;164,2
jan/13;121,2
fev/13;95,7
mar/13;106,8
abr/13;106,8
mai/13;117,6
jun/13;105,9
jul/13;119
ago/13;121
set/13;109,8
out/13;119,2
nov/13;126,8
dez/13;162,8
jan/14;128,2
fev/14;105,7
mar/14;110,9
abr/14;109,5
mai/14;127,3
jun/14;106
jul/14;108,1
ago/14;111,9
set/14;109,9
out/14;117,1
nov/14;129,7
dez/14;157,2
jan/15;123,9
fev/15;94,4
mar/15;103,4
abr/15;92,7
mai/15;103,8
jun/15;91,6
jul/15;94,3
ago/15;91,1
set/15;90,2
 ;
